date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kinsa_cases,hospitalization,n_visits,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,recovered,hospitalizedIncrease,deathIncrease,deathCumulative
2020-04-25,202017,CA,06,-16613.0,-3771.0,-5737.0,-11477.0,-16128.0,5120.0,0.2981894145104608,0.011233845479863565,0.010970345830043757,1.1,12174.0,234195.0,246369.0,0.0,10500.0,0.0,3465.125,549.0,1689.0
2020-05-02,202018,CA,06,-14815.0,-2349.0,-3852.0,-10388.0,-15523.0,4434.0,0.1688721302742658,0.0022530275057107987,0.002018018283909717,,11060.0,169708.0,180768.0,0.0,10309.0,0.0,2989.4375,491.0,2180.0
2020-05-09,202019,CA,06,,,,,,,,,,,12364.0,213403.0,225767.0,0.0,9800.0,0.0,0.0,507.0,2687.0
2020-03-07,202010,CO,08,2865.0,2480.0,2783.0,833.0,877.0,-151.0,6.857867115695004,0.006352285884156836,0.010480413785979385,0.0,8.0,36.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,202011,CO,08,1650.0,4605.0,2004.0,88.0,-66.0,121.0,7.128005666252912,0.005976781299871704,0.010898774432040377,0.6,93.0,555.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,202012,CO,08,-8330.0,1603.0,-1060.0,-3455.0,-9210.0,1566.0,6.3623745136890975,0.0069624808336201756,0.008829844535117945,3.4,262.0,2707.0,2969.0,0.0,0.0,0.0,44.0,6.0,6.0
2020-03-28,202013,CO,08,-13429.0,-5326.0,-1095.0,-5414.0,-13091.0,1999.0,4.613152563923704,0.007588321807428731,0.007532705177489689,8.4,1371.0,6625.0,7996.0,0.0,0.0,0.0,195.0,25.0,31.0
2020-04-04,202014,CO,08,-13677.0,-7009.0,-2244.0,-5724.0,-14517.0,2164.0,1.7780310296610635,0.008558375316831991,0.007353407757749264,11.8,2439.0,7956.0,10395.0,0.0,0.0,0.0,584.0,80.0,111.0
2020-04-11,202015,CO,08,-7746.0,-3229.0,788.0,-5738.0,-14642.0,2049.0,0.3747106166525129,0.007713490002190444,0.0064967645301005714,13.0,2337.0,8245.0,10582.0,0.0,0.0,0.0,489.0,139.0,250.0
2020-04-18,202016,CO,08,-8049.0,-4108.0,-5209.0,-5998.0,-14491.0,2231.0,0.030745741676367306,0.006414869981537691,0.005896892915907297,11.2,2537.0,8117.0,10654.0,0.0,0.0,0.0,443.0,139.0,389.0
2020-04-25,202017,CO,08,-6432.0,-2819.0,545.0,-4926.0,-13489.0,1998.0,0.03035219494272485,0.004912851644397158,0.005372281947037164,4.1,3209.0,10273.0,13482.0,0.0,0.0,2086.0,611.0,295.0,684.0
2020-05-02,202018,CO,08,-5374.0,-1827.0,2474.0,-4129.0,-12552.0,1673.0,0.0,0.0012829739963075382,0.0008802544104951709,,3512.0,16648.0,20160.0,0.0,0.0,16304.0,381.0,148.0,832.0
2020-05-09,202019,CO,08,,,,,,,,,,,3059.0,16764.0,19823.0,0.0,0.0,19513.0,853.0,135.0,967.0
2020-03-07,202010,CT,09,430.0,338.0,1184.0,78.0,194.0,-42.0,4.950550944193816,0.005194480082611008,0.006715167971430468,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,202011,CT,09,293.0,1025.0,2437.0,-312.0,-50.0,84.0,5.661256433086884,0.005131895985230153,0.006246633561820718,0.6,11.0,125.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,202012,CT,09,-1502.0,622.0,1821.0,-1637.0,-1689.0,778.0,5.068369902417799,0.004865913571361518,0.005147975709995647,4.3,183.0,1981.0,2164.0,0.0,0.0,0.0,0.0,4.0,4.0
2020-03-28,202013,CT,09,-2722.0,-1055.0,1209.0,-2571.0,-2632.0,1170.0,3.442828045976744,0.005867259129455205,0.004837341085671704,17.6,1097.0,5003.0,6100.0,0.0,0.0,0.0,0.0,29.0,33.0
2020-04-04,202014,CT,09,-2785.0,-1019.0,243.0,-2895.0,-2882.0,1241.0,2.475206048153116,0.007306693369214881,0.00522987700049436,33.8,3985.0,9644.0,13629.0,0.0,0.0,0.0,0.0,132.0,165.0
